quiz sum,Exam 1,Exam 2,Final
105,99,100,185
105,90,94,189
95,95,93,181
120,92,91,180
120,90,94,178
110,92,100,166
115,65,89,197
115,87,94,174
85,94,94,184
110,80,99,166
90,88,83,165
105,57,100,179
105,96,89,151
95,71,98,166
95,90,98,147
90,97,93,152
100,93,80,150
100,94,87,149
100,95,83,156
65,92,99,197
100,90,63,157
100,86,93,131
95,89,91,133
110,74,86,144
115,83,87,134
105,84,85,135
90,76,94,132
115,59,91,151
85,86,72,154
100,86,68,146
75,94,89,159
100,74,74,149
95,81,64,152
110,82,59,155
110,87,86,122
95,77,82,135
105,84,64,145
90,80,88,123
90,83,66,162
105,72,83,132
90,77,83,140
95,83,73,130
80,72,77,156
90,91,87,110
105,78,81,115
95,78,67,129
90,82,81,121
80,64,69,162
100,79,68,125
75,94,90,132
95,74,65,130
95,76,67,124
90,86,59,122
70,93,84,145
110,85,50,129
90,76,58,133
110,49,82,131
95,79,85,117
105,83,63,112
85,80,56,137
100,83,51,121
105,91,66,97
95,75,73,115
100,82,65,104
95,79,66,106
105,79,55,117
100,76,57,118
100,77,63,122
85,68,96,144
95,94,81,104
105,89,59,110
100,65,66,118
95,83,70,115
80,97,62,123
105,63,75,110
85,91,89,89
60,88,92,133
90,83,57,106
95,62,82,123
90,94,71,113
85,81,73,112
100,67,57,116
100,82,45,116
80,75,90,108
100,80,38,117
120,65,57,110
90,87,64,96
95,63,68,100
85,85,75,115
90,70,62,116
80,74,71,114
100,78,57,98
90,81,51,113
95,72,65,95
90,83,51,115
90,67,52,102
95,74,64,89
70,68,84,114
65,72,91,126
90,57,82,97
95,62,43,112
90,70,68,97
90,74,62,99
95,62,63,87
90,66,57,84
90,59,54,93
85,71,70,83
75,77,39,126
65,85,63,111
85,59,69,93
95,68,67,68
90,58,76,82
75,85,61,88
80,68,88,87
80,87,45,93
100,77,56,65
90,45,47,105
95,63,57,93
85,58,50,97
95,45,60,87
80,70,34,114
80,63,55,107
70,59,79,110
95,70,50,70
45,83,80,127
95,74,34,79
65,64,70,127
75,65,62,92
75,86,64,83
100,60,40,84
60,96,89,132
75,73,49,100
95,57,50,107
90,54,31,114
85,61,50,94
70,68,55,118
70,77,40,112
50,83,67,115
80,69,69,73
80,58,51,88
90,54,54,65
80,75,58,76
75,73,32,98
75,77,37,106
65,75,67,92
75,58,56,102
75,59,43,97
60,88,53,125
65,73,63,112
80,72,37,82
60,62,61,105
85,57,40,69
80,58,48,88
90,44,49,80
90,51,47,76
100,47,23,76
45,88,61,105
85,44,46,81
80,56,40,81
100,56,29,56
100,51,31,58
80,66,44,60
75,77,40,45
70,48,53,72
85,59,21,69
70,54,43,90
80,56,52,65
65,74,29,74
60,64,37,87
80,61,35,69
50,60,56,97
55,75,50,76
55,58,46,106
60,62,44,76
100,38,26,54
65,69,25,73
70,43,37,72
25,82,57,106
95,34,36,41
45,78,53,72
80,28,31,62
80,42,21,68
80,36,32,52
60,63,42,67
45,78,73,99
70,59,47,70
85,31,36,32
55,69,41,70
35,59,75,85
70,62,30,58
50,63,30,74
25,86,56,72
80,29,35,37
85,31,10,31
70,55,36,33
45,55,37,71
35,59,46,109
45,74,40,41
15,88,72,121
65,54,41,72
10,95,77,115
55,28,27,50
45,79,55,39
20,61,46,86
40,56,35,44
50,24,58,65
5,62,64,81
30,28,30,48
20,39,37,76
20,31,57,21
0,70,35,56
0,72,61,61
10,55,31,49
0,22,72,42